danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4,1
0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,339000,3,1
0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4,1
0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,223747,4,1
0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,232067,4,0
0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,3,0
0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4,0
0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819,4,0
0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938,4,0
0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,153467,4,1
0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,274707,4,1
0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,181080,4,0
0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667,4,0
0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453,4,0
0.526,0.749,3,-6.964,1,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,208680,4,1
0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,186662,4,0
0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,165000,4,1
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4,0
0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522,116627,3,1
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,0
0.611,0.846,11,-5.9,1,0.0436,0.00509,0.0,0.0784,0.751,103.912,162920,4,1
0.727,0.839,2,-4.781,1,0.184,0.01,3.63e-06,0.177,0.338,95.485,127253,4,0
0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,4,0
0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,210200,4,0
0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,4,0
0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,167987,4,1
0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4,0
0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,145000,4,0
0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,176293,4,1
0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986,215227,4,0
0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,214240,4,1
0.528,0.797,4,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785,136562,4,1
0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,198440,4,1
0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,4,0
0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,213573,4,1
0.401,0.381,2,-7.458,1,0.0274,0.7,0.0,0.122,0.229,75.454,276800,4,1
0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,4,0
0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467,4,1
0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,160853,4,1
0.887,0.234,9,-14.52,1,0.178,0.111,0.67,0.13,0.197,140.02,196800,4,0
0.766,0.684,9,-4.281,0,0.0514,0.135,0.0199,0.0832,0.474,102.045,176590,4,0
0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,0
0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,276693,4,1
0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4,0
0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4,0
0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4,0
0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,173104,4,1
0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,3,1
0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,4,0
0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4,0
0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907,4,0
0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,151475,4,0
0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4,1
0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4,0
0.457,0.551,5,-9.36,0,0.167,0.427,1.15e-06,0.113,0.428,89.87,307151,4,1
0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4,0
0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000,4,0
0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093,4,1
0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4,1
0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4,0
0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4,1
0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,4,0
0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,282206,4,1
0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,326491,4,1
0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4,1
0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,4,1
0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,227093,3,1
0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,235493,4,0
0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,258969,4,1
0.457,0.343,0,-9.387,1,0.0305,0.805,0.0182,0.12,0.0562,119.94,285051,4,1
0.508,0.797,1,-5.854,1,0.0411,0.00261,7.56e-06,0.0916,0.361,126.982,234933,4,1
0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,267773,4,1
